,Pancreatic Neuroendocrine Tumor,Cartilage Disease,Multiple Sclerosis,Parkinson Disease,Bronchopulmonary Dysplasia,Melanoma,COVID-19,Hypertension,Prostate Cancer,Colorectal Cancer,Bladder Cancer,Clear Cell Renal Cell Carcinoma,Neurodegenerative Disease,Breast Cancer,Idiopathic Nephrotic Syndrome,Alzheimer Disease,Alcoholic Chronic Pancreatitis,Hepatocellular Carcinoma,Dilated Cardiomyopathy,Laryngeal Squamous Cell Carcinoma,Hearing Loss,Systemic Lupus Erythematosus,Endocervical Adenocarcinoma,Multiple Myeloma,Myocardial Infarction,Spinal Cord Injury,Traumatic Brain,Papillary Thyroid Carcinoma,Irritable Bowel Syndrome,Non-Alcoholic Fatty Liver Disease,Lung Adenocarcinoma,IgA Nephropathy,Age-Related Macular Degeneration,Oxygen-Induced Retinopathy,Uv-Induced Skin Injury,Oral Submucous Fibrosis,Acute Pancreatitis,Amyotrophic Lateral Sclerosis,Hypopharynx Cancer,Chronic Lymphocytic Leukemia,Head And Neck Squamous Cell Carcinoma,Colon Cancer,Gastric Cancer,Stroke,Osteoporosis,Gastric Carcinoma,Atopic Dermatitis,Osteoarthritis,Fusarium Head Blight,Atherosclerosis,Pancreatic Ductal Adenocarcinoma,Respiratory Syncytial Virus Infection,Intracranial Aneurysm,Oral Squamous Cell Carcinoma,Lung Cancer,Ovarian Cancer,Deafness,Leber Hereditary Optic Neuropathy,Coronary Artery Disease,Acute Lung Injury
Bladder Cancer,0.21739130434782608,0.07792207792207792,0.04838709677419355,0.04823151125401929,0.05806451612903226,0.14285714285714285,0.025974025974025976,0.05806451612903226,0.16129032258064516,0.15337423312883436,1.0,0.3022556390977444,0.07792207792207792,0.3333333333333333,0.10112359550561797,0.04823151125401929,0.05806451612903226,0.14207650273224043,0.047619047619047616,0.13624678663239073,0.04823151125401929,0.06486486486486487,0.1249182472204055,0.15567282321899736,0.04823151125401929,0.07792207792207792,0.05806451612903226,0.11904761904761904,0.07792207792207792,0.043731778425655975,0.13089005235602094,0.11254019292604502,0.03772336201191264,0.05806451612903226,0.11842105263157894,0.07792207792207792,0.05806451612903226,0.04823151125401929,0.18518518518518517,0.14705882352941177,0.12806539509536785,0.13253012048192772,0.21739130434782608,0.06593406593406594,0.04333868378812199,0.16751269035532995,0.052941176470588235,0.04333868378812199,0.025974025974025976,0.04333868378812199,0.13005780346820808,0.039473684210526314,0.043859649122807015,0.15151515151515152,0.20833333333333334,0.15151515151515152,0.01607717041800643,0.04333868378812199,0.05806451612903226,0.07792207792207792
Clear Cell Renal Cell Carcinoma,0.13984962406015036,0.04954128440366973,0.022288261515601784,0.016333938294010888,0.0273224043715847,0.24770642201834864,0.01651376146788991,0.0273224043715847,0.0787518573551263,0.05679862306368331,0.3022556390977444,1.0,0.04954128440366973,0.2665639445300462,0.05434782608695652,0.016333938294010888,0.0273224043715847,0.1649016641452345,0.016100178890876567,0.157001414427157,0.016333938294010888,0.04035874439461883,0.14491708723864455,0.07423580786026202,0.016333938294010888,0.04954128440366973,0.0273224043715847,0.10364963503649635,0.04954128440366973,0.014634146341463415,0.15151515151515152,0.08166969147005444,0.01095690284879474,0.0273224043715847,0.09497206703910614,0.04954128440366973,0.0273224043715847,0.016333938294010888,0.09185441941074524,0.07114093959731543,0.17043740573152338,0.047337278106508875,0.13984962406015036,0.0410958904109589,0.010869565217391304,0.2580195258019526,0.024630541871921183,0.010869565217391304,0.01651376146788991,0.010869565217391304,0.1143317230273752,0.03165735567970205,0.01468189233278956,0.17337031900138697,0.133428981348637,0.07350901525658807,0.0054446460980036296,0.010869565217391304,0.0273224043715847,0.04954128440366973
Neurodegenerative Disease,0.07792207792207792,0.0967741935483871,0.28846153846153844,0.6175298804780877,0.072,0.03225806451612903,0.03225806451612903,0.072,0.057692307692307696,0.05639097744360902,0.07792207792207792,0.04954128440366973,1.0,0.12,0.0536779324055666,0.6175298804780877,0.072,0.0457516339869281,0.058823529411764705,0.04559270516717325,0.1394422310756972,0.07741935483870968,0.041117145073700546,0.07523510971786834,0.05976095617529881,0.4838709677419355,0.36,0.040880503144654086,0.0967741935483871,0.053003533568904596,0.043478260869565216,0.05976095617529881,0.0967741935483871,0.168,0.14754098360655737,0.0967741935483871,0.072,0.6175298804780877,0.06818181818181818,0.05172413793103448,0.016286644951140065,0.05741626794258373,0.07792207792207792,0.3157894736842105,0.0536779324055666,0.05389221556886228,0.06428571428571428,0.0536779324055666,0.03225806451612903,0.0536779324055666,0.045454545454545456,0.04918032786885246,0.23404255319148937,0.05357142857142857,0.07407407407407407,0.05357142857142857,0.0199203187250996,0.12524850894632206,0.072,0.0967741935483871
Breast Cancer,0.3333333333333333,0.12,0.08241758241758242,0.0891089108910891,0.09933774834437085,0.2,0.04,0.09933774834437085,0.27472527472527475,0.2830188679245283,0.3333333333333333,0.2665639445300462,0.12,1.0,0.08401976935749589,0.0891089108910891,0.09933774834437085,0.2569832402234637,0.08794788273615635,0.2440944881889764,0.0891089108910891,0.09944751381215469,0.23446893787575152,0.2668463611859838,0.0891089108910891,0.12,0.09933774834437085,0.22972972972972974,0.12,0.08059701492537313,0.24064171122994651,0.0891089108910891,0.07099391480730223,0.09933774834437085,0.16216216216216217,0.12,0.09933774834437085,0.0891089108910891,0.31645569620253167,0.25,0.2200557103064067,0.2448700410396717,0.3333333333333333,0.10112359550561797,0.08401976935749589,0.27461139896373055,0.09036144578313253,0.08401976935749589,0.04,0.08401976935749589,0.2514792899408284,0.05405405405405406,0.08083832335329341,0.25773195876288657,0.3191489361702128,0.25773195876288657,0.0297029702970297,0.08401976935749589,0.09933774834437085,0.12
Idiopathic Nephrotic Syndrome,0.04333868378812199,0.0536779324055666,0.02377179080824089,0.01768172888015717,0.029585798816568046,0.017892644135188866,0.017892644135188866,0.029585798816568046,0.02377179080824089,0.016697588126159554,0.10112359550561797,0.05434782608695652,0.0536779324055666,0.08401976935749589,1.0,0.01768172888015717,0.029585798816568046,0.011308562197092083,0.017408123791102514,0.013533834586466165,0.01768172888015717,0.0430622009569378,0.00844205679201842,0.04186046511627907,0.01768172888015717,0.0536779324055666,0.029585798816568046,0.007776049766718507,0.0536779324055666,0.015706806282722512,0.010752688172043012,0.08840864440078586,0.011673151750972763,0.029585798816568046,0.10303030303030303,0.0536779324055666,0.029585798816568046,0.01768172888015717,0.028037383177570093,0.021337126600284494,0.004830917874396135,0.02365930599369085,0.04333868378812199,0.04390243902439024,0.011764705882352941,0.022222222222222223,0.026455026455026454,0.011764705882352941,0.017892644135188866,0.011764705882352941,0.008635578583765112,0.03434343434343434,0.01576182136602452,0.022091310751104567,0.04122137404580153,0.022091310751104567,0.005893909626719057,0.011764705882352941,0.029585798816568046,0.0536779324055666
Alzheimer Disease,0.04823151125401929,0.05976095617529881,0.14285714285714285,0.2440944881889764,0.03557312252964427,0.0199203187250996,0.0199203187250996,0.03557312252964427,0.02857142857142857,0.022304832713754646,0.04823151125401929,0.016333938294010888,0.6175298804780877,0.0891089108910891,0.01768172888015717,1.0,0.03557312252964427,0.016181229773462782,0.023255813953488372,0.018072289156626505,0.05511811023622047,0.04792332268370607,0.013066871637202153,0.046583850931677016,0.023622047244094488,0.29880478087649404,0.17786561264822134,0.012461059190031152,0.05976095617529881,0.02097902097902098,0.015384615384615385,0.023622047244094488,0.030397505845674203,0.08300395256916997,0.10931174089068826,0.05976095617529881,0.03557312252964427,0.2440944881889764,0.033707865168539325,0.02564102564102564,0.0064516129032258064,0.02843601895734597,0.04823151125401929,0.16612377850162866,0.01768172888015717,0.026706231454005934,0.03180212014134275,0.01768172888015717,0.0199203187250996,0.01768172888015717,0.01384083044982699,0.03643724696356275,0.07368421052631578,0.02654867256637168,0.045871559633027525,0.02654867256637168,0.007874015748031496,0.0412573673870334,0.03557312252964427,0.05976095617529881
Alcoholic Chronic Pancreatitis,0.2903225806451613,0.072,0.03821656050955414,0.03557312252964427,0.047619047619047616,0.024,0.024,0.047619047619047616,0.03821656050955414,0.033582089552238806,0.05806451612903226,0.0273224043715847,0.072,0.09933774834437085,0.029585798816568046,0.03557312252964427,1.0,0.025974025974025976,0.03501945525291829,0.027190332326283987,0.03557312252964427,0.057692307692307696,0.02235929067077872,0.056074766355140186,0.03557312252964427,0.072,0.047619047619047616,0.05,0.072,0.031578947368421054,0.024691358024691357,0.03557312252964427,0.02580140734949179,0.047619047619047616,0.12195121951219512,0.072,0.49206349206349204,0.03557312252964427,0.045112781954887216,0.03428571428571429,0.009708737864077669,0.03803486529318542,0.05806451612903226,0.058823529411764705,0.029585798816568046,0.03571428571428571,0.0425531914893617,0.029585798816568046,0.024,0.029585798816568046,0.11805555555555555,0.04065040650406504,0.03169014084507042,0.03550295857988166,0.05521472392638037,0.08284023668639054,0.011857707509881422,0.029585798816568046,0.047619047619047616,0.072
Hepatocellular Carcinoma,0.25136612021857924,0.0457516339869281,0.021621621621621623,0.016181229773462782,0.025974025974025976,0.24509803921568626,0.016339869281045753,0.025974025974025976,0.08648648648648649,0.12345679012345678,0.14207650273224043,0.1649016641452345,0.0457516339869281,0.2569832402234637,0.011308562197092083,0.016181229773462782,0.025974025974025976,1.0,0.01597444089456869,0.18863049095607234,0.016181229773462782,0.03804347826086957,0.17817225509533202,0.08222811671087533,0.016181229773462782,0.0457516339869281,0.025974025974025976,0.1675531914893617,0.10457516339869281,0.1378299120234604,0.18421052631578946,0.016181229773462782,0.011310711909514305,0.025974025974025976,0.08609271523178808,0.10457516339869281,0.025974025974025976,0.016181229773462782,0.19254658385093168,0.07881773399014778,0.20273972602739726,0.1063257065948856,0.2896174863387978,0.03867403314917127,0.011308562197092083,0.35714285714285715,0.023668639053254437,0.011308562197092083,0.016339869281045753,0.011308562197092083,0.18313953488372092,0.029801324503311258,0.014705882352941176,0.27918781725888325,0.13612565445026178,0.08121827411167512,0.006472491909385114,0.011308562197092083,0.025974025974025976,0.0457516339869281
Dilated Cardiomyopathy,0.047619047619047616,0.058823529411764705,0.02821316614420063,0.023255813953488372,0.03501945525291829,0.0196078431372549,0.0196078431372549,0.08171206225680934,0.02821316614420063,0.02197802197802198,0.047619047619047616,0.016100178890876567,0.058823529411764705,0.08794788273615635,0.017408123791102514,0.023255813953488372,0.03501945525291829,0.01597444089456869,1.0,0.017857142857142856,0.023255813953488372,0.0473186119873817,0.012908124525436599,0.046012269938650305,0.05426356589147287,0.058823529411764705,0.03501945525291829,0.012307692307692308,0.058823529411764705,0.020689655172413793,0.015197568389057751,0.023255813953488372,0.016166281755196306,0.03501945525291829,0.10756972111553785,0.058823529411764705,0.03501945525291829,0.023255813953488372,0.033210332103321034,0.02535211267605634,0.006369426751592357,0.028081123244929798,0.047619047619047616,0.11254019292604502,0.017408123791102514,0.026392961876832845,0.0313588850174216,0.017408123791102514,0.0196078431372549,0.04061895551257253,0.013651877133105802,0.035856573705179286,0.04844290657439446,0.026239067055393587,0.045317220543806644,0.026239067055393587,0.007751937984496124,0.017408123791102514,0.08171206225680934,0.058823529411764705
Laryngeal Squamous Cell Carcinoma,0.13624678663239073,0.04559270516717325,0.022900763358778626,0.018072289156626505,0.0634441087613293,0.22796352583586627,0.015197568389057751,0.027190332326283987,0.08396946564885496,0.06628242074927954,0.13624678663239073,0.157001414427157,0.04559270516717325,0.2440944881889764,0.013533834586466165,0.018072289156626505,0.027190332326283987,0.18863049095607234,0.017857142857142856,1.0,0.018072289156626505,0.03836317135549872,0.17048977061376316,0.08,0.018072289156626505,0.04559270516717325,0.027190332326283987,0.13533834586466165,0.04559270516717325,0.016483516483516484,0.22084367245657568,0.018072289156626505,0.013166144200626959,0.027190332326283987,0.08307692307692308,0.04559270516717325,0.027190332326283987,0.018072289156626505,0.09565217391304348,0.07692307692307693,0.3556701030927835,0.057034220532319393,0.13624678663239073,0.03896103896103896,0.013533834586466165,0.2674698795180723,0.024930747922437674,0.013533834586466165,0.015197568389057751,0.013533834586466165,0.14713896457765668,0.027692307692307693,0.01652892561983471,0.34772182254196643,0.27901234567901234,0.07913669064748201,0.006024096385542169,0.013533834586466165,0.027190332326283987,0.10638297872340426
Hearing Loss,0.04823151125401929,0.05976095617529881,0.06666666666666667,0.05511811023622047,0.03557312252964427,0.0199203187250996,0.0199203187250996,0.03557312252964427,0.02857142857142857,0.022304832713754646,0.04823151125401929,0.016333938294010888,0.1394422310756972,0.0891089108910891,0.01768172888015717,0.05511811023622047,0.03557312252964427,0.016181229773462782,0.023255813953488372,0.018072289156626505,1.0,0.04792332268370607,0.013066871637202153,0.046583850931677016,0.023622047244094488,0.1394422310756972,0.08300395256916997,0.012461059190031152,0.05976095617529881,0.02097902097902098,0.015384615384615385,0.023622047244094488,0.05845674201091192,0.17786561264822134,0.10931174089068826,0.05976095617529881,0.03557312252964427,0.05511811023622047,0.033707865168539325,0.02564102564102564,0.0064516129032258064,0.02843601895734597,0.04823151125401929,0.08794788273615635,0.01768172888015717,0.026706231454005934,0.03180212014134275,0.01768172888015717,0.0199203187250996,0.01768172888015717,0.01384083044982699,0.03643724696356275,0.03859649122807018,0.02654867256637168,0.045871559633027525,0.02654867256637168,0.007874015748031496,0.0412573673870334,0.03557312252964427,0.05976095617529881
Systemic Lupus Erythematosus,0.06486486486486487,0.3870967741935484,0.12299465240641712,0.04792332268370607,0.057692307692307696,0.025806451612903226,0.025806451612903226,0.057692307692307696,0.0481283422459893,0.04573170731707317,0.06486486486486487,0.04035874439461883,0.07741935483870968,0.09944751381215469,0.0430622009569378,0.04792332268370607,0.057692307692307696,0.03804347826086957,0.0473186119873817,0.03836317135549872,0.04792332268370607,1.0,0.034482758620689655,0.06299212598425197,0.04792332268370607,0.07741935483870968,0.057692307692307696,0.034210526315789476,0.07741935483870968,0.043478260869565216,0.036458333333333336,0.04792332268370607,0.037524687294272545,0.057692307692307696,0.11764705882352941,0.07741935483870968,0.057692307692307696,0.04792332268370607,0.05521472392638037,0.05853658536585366,0.013550135501355014,0.047936085219707054,0.06486486486486487,0.06557377049180328,0.215311004784689,0.045454545454545456,0.08187134502923976,0.215311004784689,0.025806451612903226,0.0430622009569378,0.03735632183908046,0.0392156862745098,0.0436046511627907,0.04522613065326633,0.06217616580310881,0.04522613065326633,0.01597444089456869,0.0430622009569378,0.057692307692307696,0.07741935483870968
Endocervical Adenocarcinoma,0.1249182472204055,0.041117145073700546,0.018770226537216828,0.013066871637202153,0.02235929067077872,0.23273855702094648,0.015515903801396431,0.02235929067077872,0.1378640776699029,0.05216752387950037,0.1249182472204055,0.14491708723864455,0.041117145073700546,0.23446893787575152,0.00844205679201842,0.013066871637202153,0.02235929067077872,0.17817225509533202,0.012908124525436599,0.17048977061376316,0.013066871637202153,0.034482758620689655,1.0,0.06802288620470438,0.013066871637202153,0.041117145073700546,0.02235929067077872,0.24665391969407266,0.041117145073700546,0.011896431070678797,0.32744479495268136,0.013066871637202153,0.008928571428571428,0.02235929067077872,0.0793401413982718,0.041117145073700546,0.02235929067077872,0.013066871637202153,0.082039911308204,0.06571936056838366,0.18491803278688523,0.04448742746615087,0.1249182472204055,0.03502974223397224,0.00844205679201842,0.25903245560318433,0.020465772759350742,0.00844205679201842,0.015515903801396431,0.00844205679201842,0.2685634975711312,0.028279654359780047,0.011929824561403509,0.1846435100548446,0.11989956057752668,0.25411334552102377,0.006149116064565719,0.00844205679201842,0.02235929067077872,0.041117145073700546
